sog,twd,cog,tws,mainsheet_length,jibsheet_length,cunningham_length,main_halyard_length,jib_halyard_length,outhaul_length,vang_length,traveller_length,tcd_low,tcd_med,tcd_high,image_name
3.55,253.08,221.4,22.18,0.5,2.0,0.2,1.5,1.0,2.0,1.75,-0.5,"[29.23, 0.08, 0.32]","[16.47, 0.27, 0.33]","[4.91, 0.8, 0.67]",mainsail_14.jpg
3.57,130.9,356.41,18.91,0.5,2.5,1.5,1.5,1.0,0.3,0.85,0.17,"[0.06, 0.48, 0.85]","[14.55, 0.83, 0.57]","[17.41, 0.55, 0.01]",mainsail_15.jpg
5.26,349.83,50.43,20.48,0.5,1.0,1.5,1.5,1.0,0.3,2.2,-0.5,"[3.98, 0.51, 0.43]","[10.08, 0.01, 0.27]","[16.26, 0.47, 0.84]",mainsail_16.jpg
8.35,346.47,186.59,8.49,2.5,2.5,1.07,1.5,1.0,0.3,0.4,0.33,"[2.32, 0.13, 0.26]","[3.46, 0.19, 0.15]","[14.09, 0.96, 0.57]",mainsail_17.jpg
7.05,90.64,315.85,6.08,2.0,1.0,0.63,1.5,1.0,0.3,0.4,-0.33,"[8.77, 0.77, 0.24]","[8.55, 0.52, 0.43]","[26.72, 0.07, 0.68]",mainsail_18.jpg
5.08,179.0,266.67,19.26,2.5,2.5,0.63,1.5,1.0,0.3,1.75,0.0,"[6.95, 0.72, 0.83]","[20.41, 0.75, 0.26]","[15.97, 0.95, 0.56]",mainsail_19.jpg
9.57,108.31,250.92,20.56,2.0,1.5,1.5,1.5,1.0,0.72,0.4,0.5,"[17.06, 0.11, 0.28]","[0.16, 0.15, 0.62]","[0.83, 0.22, 0.64]",mainsail_20.jpg
2.95,102.54,252.89,24.78,2.5,1.5,1.5,1.5,1.0,2.0,0.4,0.17,"[1.58, 0.81, 0.67]","[16.02, 0.32, 0.81]","[20.1, 0.0, 0.73]",mainsail_21.jpg
5.09,13.28,129.41,11.49,2.5,1.5,1.07,1.5,1.0,1.15,1.75,-0.33,"[22.79, 0.85, 0.02]","[5.74, 0.63, 0.95]","[10.37, 0.86, 0.11]",mainsail_22.jpg
6.13,219.44,105.69,10.56,3.0,1.5,1.5,1.5,1.0,1.15,1.75,0.33,"[25.05, 0.23, 0.94]","[29.01, 0.74, 0.78]","[29.57, 0.36, 0.82]",mainsail_23.jpg
7.38,180.96,291.36,19.86,1.5,0.5,1.07,1.5,1.0,1.15,2.2,0.17,"[7.37, 0.4, 0.57]","[26.43, 0.12, 0.58]","[20.56, 0.83, 0.27]",mainsail_24.jpg
11.99,18.53,291.63,9.84,2.5,1.5,0.63,1.5,1.0,1.15,0.4,-0.17,"[5.18, 0.69, 0.45]","[13.17, 0.64, 0.98]","[17.01, 0.92, 0.85]",mainsail_25.jpg
3.8,100.31,312.14,23.41,3.0,2.0,0.63,1.5,1.0,0.72,0.4,-0.5,"[10.49, 0.78, 0.38]","[5.14, 0.74, 0.15]","[2.08, 0.58, 0.65]",mainsail_26.jpg
8.2,326.97,328.76,21.74,1.0,2.0,0.2,1.5,1.0,1.58,2.2,0.5,"[26.15, 0.3, 0.52]","[28.02, 0.01, 0.11]","[10.46, 0.14, 0.97]",mainsail_27.jpg
9.29,86.24,184.08,11.87,1.5,0.5,0.63,1.5,1.0,2.0,1.3,0.33,"[4.07, 0.73, 0.11]","[3.36, 0.08, 0.19]","[1.04, 0.13, 0.75]",mainsail_28.jpg
1.65,52.16,180.54,19.27,2.5,1.5,1.5,1.5,1.0,0.3,1.3,-0.17,"[5.77, 0.73, 0.53]","[8.85, 0.91, 0.74]","[0.29, 0.64, 0.47]",mainsail_29.jpg
9.51,176.2,287.38,19.35,0.5,1.5,0.63,1.5,1.0,1.58,1.3,-0.33,"[3.91, 0.99, 0.07]","[1.92, 0.97, 0.11]","[2.11, 0.25, 0.95]",mainsail_30.jpg
3.39,354.82,233.98,4.37,1.0,1.5,1.07,1.5,1.0,1.15,2.2,0.0,"[22.65, 0.38, 0.98]","[22.66, 0.02, 0.79]","[3.21, 0.74, 0.47]",mainsail_31.jpg
1.91,87.14,252.7,22.76,1.0,2.5,0.63,1.5,1.0,1.58,0.4,0.17,"[15.58, 0.14, 0.75]","[1.47, 0.88, 0.38]","[5.77, 0.12, 0.04]",mainsail_32.jpg
14.28,241.96,286.48,13.62,3.0,1.0,0.2,1.5,1.0,2.0,2.2,-0.5,"[7.27, 0.33, 0.05]","[15.25, 0.39, 0.91]","[13.92, 0.71, 0.16]",mainsail_33.jpg
14.52,274.18,320.39,21.01,1.0,2.5,0.63,1.5,1.0,0.3,2.2,0.17,"[16.6, 0.91, 0.69]","[12.93, 0.01, 0.05]","[29.23, 0.52, 0.18]",mainsail_34.jpg
12.32,85.55,121.67,9.36,1.5,1.0,1.07,1.5,1.0,0.3,1.3,0.5,"[0.92, 0.68, 0.22]","[7.86, 0.36, 0.69]","[1.74, 0.77, 0.23]",mainsail_35.jpg
5.26,262.15,135.21,22.6,2.5,1.5,1.07,1.5,1.0,2.0,0.85,-0.33,"[27.24, 0.66, 0.84]","[21.62, 0.68, 0.61]","[27.28, 0.1, 0.33]",mainsail_36.jpg
2.37,132.4,33.83,10.95,2.5,1.5,1.5,1.5,1.0,2.0,0.4,0.17,"[29.33, 0.63, 0.19]","[23.05, 0.76, 0.29]","[28.95, 0.8, 0.03]",mainsail_37.jpg
10.58,227.62,208.18,2.25,0.5,2.5,0.63,1.5,1.0,1.15,1.3,-0.5,"[8.58, 0.14, 0.69]","[24.09, 0.36, 0.27]","[27.23, 0.38, 0.67]",mainsail_38.jpg
7.16,228.06,12.94,22.82,3.0,2.5,1.07,1.5,1.0,0.3,0.85,-0.33,"[1.1, 0.91, 0.98]","[26.11, 0.2, 0.56]","[7.54, 0.69, 0.29]",mainsail_39.jpg
2.71,192.87,167.61,4.1,0.5,1.0,0.2,1.5,1.0,1.58,0.85,0.17,"[7.33, 0.87, 0.44]","[21.67, 0.65, 0.18]","[10.13, 0.37, 0.93]",mainsail_40.jpg
7.93,32.5,195.35,9.34,1.0,2.0,1.5,1.5,1.0,0.72,1.75,0.0,"[6.34, 0.75, 0.01]","[24.3, 0.09, 0.33]","[7.47, 0.51, 0.52]",mainsail_41.jpg
1.48,300.7,103.15,23.85,0.5,1.0,0.2,1.5,1.0,0.72,0.4,0.33,"[8.76, 0.68, 0.2]","[1.93, 0.72, 0.78]","[18.42, 0.91, 0.72]",mainsail_42.jpg
13.73,115.48,212.69,23.86,1.5,2.5,0.63,1.5,1.0,2.0,0.85,-0.33,"[17.83, 0.64, 0.8]","[2.39, 0.97, 0.4]","[11.64, 0.83, 0.0]",mainsail_43.jpg
4.62,67.14,10.98,15.19,2.5,2.5,0.63,1.5,1.0,1.15,1.3,0.33,"[1.12, 0.51, 0.62]","[10.12, 0.5, 0.12]","[2.7, 0.78, 0.76]",mainsail_44.jpg
10.28,14.68,13.44,16.53,1.0,0.5,0.63,1.5,1.0,0.72,1.75,-0.33,"[6.6, 0.6, 0.53]","[26.36, 0.7, 0.26]","[19.89, 0.17, 0.86]",mainsail_45.jpg
5.36,212.72,296.13,12.31,0.5,2.5,1.5,1.5,1.0,0.3,0.4,0.0,"[23.57, 0.53, 0.4]","[25.86, 0.18, 0.47]","[7.0, 0.78, 0.52]",mainsail_46.jpg
8.28,243.92,129.67,8.74,3.0,0.5,1.07,1.5,1.0,2.0,2.2,0.33,"[27.51, 0.91, 0.95]","[27.51, 0.81, 0.34]","[20.47, 0.07, 0.22]",mainsail_47.jpg
8.65,5.97,45.74,9.56,1.5,2.0,1.5,1.5,1.0,1.58,1.3,-0.17,"[11.02, 0.47, 0.22]","[11.12, 0.09, 0.28]","[13.71, 0.8, 0.87]",mainsail_48.jpg
3.59,184.35,188.0,17.47,1.5,1.0,0.2,1.5,1.0,2.0,0.85,-0.5,"[4.22, 0.72, 0.33]","[14.14, 0.81, 0.56]","[4.66, 0.62, 0.03]",mainsail_49.jpg
14.57,81.54,277.19,19.3,0.5,1.0,1.5,1.5,1.0,1.58,0.85,-0.17,"[18.05, 0.3, 0.08]","[22.55, 0.86, 0.61]","[28.86, 0.87, 0.25]",mainsail_50.jpg
11.85,232.26,77.69,20.21,2.5,0.5,0.2,1.5,1.0,2.0,1.3,0.17,"[24.46, 0.56, 0.31]","[25.18, 0.45, 0.69]","[12.45, 0.9, 0.57]",mainsail_51.jpg
14.15,62.77,224.23,20.16,0.5,1.0,1.5,1.5,1.0,2.0,0.85,0.0,"[3.21, 0.93, 0.24]","[17.76, 0.41, 0.23]","[2.53, 0.2, 0.87]",mainsail_52.jpg
13.53,248.73,30.72,4.1,1.0,2.5,1.07,1.5,1.0,2.0,1.75,-0.17,"[4.63, 0.24, 0.45]","[14.24, 0.33, 0.57]","[16.87, 0.34, 0.1]",mainsail_53.jpg
9.37,139.22,18.6,13.37,0.5,1.5,0.2,1.5,1.0,1.58,0.4,-0.33,"[19.8, 0.67, 0.54]","[1.0, 1.0, 0.83]","[24.01, 0.95, 0.08]",mainsail_54.jpg
13.91,337.21,191.28,3.32,1.5,0.5,0.63,1.5,1.0,1.58,1.75,0.17,"[15.79, 0.19, 0.96]","[13.68, 0.08, 0.51]","[24.08, 0.08, 0.32]",mainsail_55.jpg
2.24,49.51,194.62,14.64,0.5,1.0,0.63,1.5,1.0,2.0,0.85,0.17,"[20.98, 0.93, 0.44]","[4.34, 0.67, 0.7]","[7.38, 0.84, 0.09]",mainsail_56.jpg
3.74,122.78,229.47,12.16,2.5,0.5,1.5,1.5,1.0,0.72,2.2,-0.17,"[24.07, 0.47, 0.83]","[26.4, 0.09, 0.77]","[0.71, 0.68, 0.23]",mainsail_57.jpg
1.63,40.85,261.39,22.42,3.0,0.5,0.63,1.5,1.0,1.15,0.4,-0.17,"[15.16, 0.27, 0.78]","[6.96, 0.67, 0.82]","[23.61, 0.22, 0.39]",mainsail_58.jpg
5.55,332.88,351.3,10.07,2.0,1.5,0.2,1.5,1.0,1.15,0.4,0.0,"[14.83, 0.09, 0.77]","[14.46, 0.95, 0.1]","[27.53, 0.24, 0.68]",mainsail_59.jpg
6.44,315.83,185.86,4.69,0.5,2.5,0.63,1.5,1.0,1.15,1.3,-0.5,"[11.68, 0.22, 0.27]","[5.17, 0.52, 0.23]","[4.29, 0.15, 0.67]",mainsail_60.jpg
4.8,92.86,116.26,5.29,2.5,0.5,1.07,1.5,1.0,1.58,1.3,-0.17,"[14.62, 0.34, 0.07]","[17.7, 0.06, 0.17]","[25.85, 0.99, 0.76]",mainsail_61.jpg
12.6,237.59,286.26,19.51,2.5,1.0,1.07,1.5,1.0,1.58,2.2,0.5,"[24.49, 0.98, 0.56]","[21.15, 0.01, 0.55]","[26.31, 0.45, 0.59]",mainsail_62.jpg
5.99,294.19,97.5,16.22,3.0,2.0,1.5,1.5,1.0,0.72,0.4,-0.17,"[14.85, 0.94, 0.45]","[26.88, 0.96, 0.56]","[27.87, 0.54, 0.57]",mainsail_63.jpg
4.93,199.87,158.03,4.33,1.5,0.5,0.2,1.5,1.0,1.15,2.2,0.33,"[17.1, 0.47, 0.61]","[14.05, 0.18, 0.83]","[17.35, 0.46, 0.77]",mainsail_64.jpg
8.6,190.67,28.24,3.93,2.5,0.5,1.07,1.5,1.0,1.15,1.3,-0.33,"[9.41, 0.33, 0.41]","[3.95, 0.43, 0.06]","[1.86, 0.12, 0.62]",mainsail_65.jpg
2.97,87.06,9.13,18.12,2.5,1.5,1.07,1.5,1.0,2.0,1.3,0.5,"[27.71, 0.76, 0.29]","[6.6, 0.51, 0.18]","[23.7, 0.45, 0.89]",mainsail_66.jpg
12.23,33.52,346.54,3.67,2.5,2.5,0.2,1.5,1.0,1.58,0.4,0.5,"[25.89, 0.61, 0.27]","[0.29, 0.91, 0.09]","[7.72, 0.94, 0.99]",mainsail_67.jpg
2.04,322.99,300.94,20.9,2.5,2.0,0.63,1.5,1.0,1.15,1.75,0.33,"[9.37, 0.15, 0.17]","[21.49, 0.57, 0.07]","[14.18, 0.7, 0.39]",mainsail_68.jpg
14.82,324.14,250.54,18.24,1.0,1.0,0.63,1.5,1.0,0.72,0.85,0.33,"[2.07, 0.21, 0.77]","[6.39, 0.86, 0.21]","[23.33, 0.6, 0.84]",mainsail_69.jpg
11.81,227.91,147.22,3.87,1.0,2.0,1.5,1.5,1.0,0.72,1.3,0.17,"[25.69, 0.4, 0.48]","[19.16, 0.59, 0.89]","[14.19, 0.94, 0.71]",mainsail_70.jpg
3.78,122.05,62.38,3.95,1.5,1.0,0.63,1.5,1.0,1.15,1.3,-0.5,"[4.85, 0.43, 0.11]","[0.37, 0.3, 0.59]","[25.52, 0.68, 0.68]",mainsail_71.jpg
1.08,125.71,56.32,24.69,0.5,2.5,0.2,1.5,1.0,1.58,1.75,-0.33,"[24.29, 0.44, 0.29]","[26.37, 0.03, 0.4]","[3.35, 0.63, 0.79]",mainsail_72.jpg
12.42,261.34,90.08,10.61,2.5,1.0,1.07,1.5,1.0,0.72,1.75,0.0,"[27.64, 0.99, 0.1]","[16.73, 0.64, 0.39]","[23.96, 0.37, 0.2]",mainsail_73.jpg
10.9,322.95,197.72,10.52,3.0,1.5,0.63,1.5,1.0,2.0,2.2,0.5,"[0.39, 0.47, 0.81]","[29.58, 0.89, 0.72]","[0.25, 0.46, 0.3]",mainsail_74.jpg
11.21,319.34,257.25,20.69,0.5,1.5,1.5,1.5,1.0,0.72,2.2,0.0,"[26.36, 0.8, 0.04]","[3.31, 0.34, 0.02]","[0.29, 0.56, 0.28]",mainsail_75.jpg
11.8,280.75,237.66,23.79,3.0,1.5,0.63,1.5,1.0,0.3,0.85,-0.17,"[3.46, 0.34, 0.9]","[20.96, 0.66, 0.48]","[19.01, 0.14, 0.35]",mainsail_76.jpg
2.04,231.12,100.77,24.68,0.5,1.5,0.2,1.5,1.0,0.3,0.85,-0.17,"[20.89, 0.04, 0.19]","[15.61, 0.67, 0.83]","[22.34, 0.46, 0.48]",mainsail_77.jpg
6.02,30.29,343.74,19.33,1.5,2.0,1.5,1.5,1.0,1.58,0.4,0.0,"[15.82, 0.8, 0.2]","[28.76, 0.35, 0.89]","[2.4, 0.66, 0.81]",mainsail_78.jpg
2.62,58.18,265.64,10.65,2.5,2.5,0.63,1.5,1.0,1.15,2.2,-0.17,"[6.48, 0.3, 0.11]","[16.68, 0.1, 0.2]","[5.21, 0.86, 0.62]",mainsail_79.jpg
13.08,323.47,199.56,3.92,2.5,1.0,1.5,1.5,1.0,1.58,1.3,-0.5,"[0.39, 0.32, 0.87]","[20.72, 0.58, 0.34]","[6.88, 0.24, 0.58]",mainsail_80.jpg
9.73,218.31,220.21,19.87,2.0,1.0,0.2,1.5,1.0,1.58,2.2,0.33,"[12.51, 0.44, 0.15]","[8.73, 0.88, 0.78]","[25.78, 0.67, 0.14]",mainsail_81.jpg
5.63,3.31,151.05,14.84,3.0,1.5,1.07,1.5,1.0,1.58,1.3,-0.17,"[7.74, 0.42, 0.84]","[4.58, 0.04, 0.41]","[24.16, 0.97, 0.82]",mainsail_82.jpg
1.89,36.53,89.18,11.76,0.5,1.5,0.2,1.5,1.0,1.58,1.75,0.17,"[3.66, 0.28, 0.84]","[18.37, 0.03, 0.96]","[18.9, 0.19, 0.58]",mainsail_83.jpg
5.35,238.85,128.15,22.85,0.5,0.5,0.2,1.5,1.0,2.0,2.2,-0.17,"[25.62, 0.47, 0.42]","[26.9, 0.67, 0.96]","[25.84, 0.55, 0.81]",mainsail_84.jpg
5.55,1.82,272.82,4.56,1.0,2.5,0.2,1.5,1.0,2.0,1.75,-0.33,"[4.72, 0.06, 0.58]","[4.86, 0.92, 0.08]","[25.04, 0.51, 0.57]",mainsail_85.jpg
11.21,57.89,5.18,13.33,2.0,2.0,0.2,1.5,1.0,0.72,0.85,-0.5,"[16.8, 0.84, 0.07]","[16.16, 0.64, 0.18]","[16.23, 0.94, 0.47]",mainsail_86.jpg
9.93,197.54,41.78,2.26,1.0,1.0,1.07,1.5,1.0,0.3,0.85,-0.33,"[19.29, 1.0, 0.13]","[0.09, 0.69, 0.5]","[21.4, 0.72, 0.83]",mainsail_87.jpg
13.42,249.08,16.56,12.78,1.0,0.5,1.07,1.5,1.0,1.58,0.4,-0.33,"[29.88, 0.4, 0.5]","[6.72, 0.88, 0.01]","[9.47, 0.7, 0.32]",mainsail_88.jpg
7.61,234.7,14.66,3.29,1.0,0.5,1.5,1.5,1.0,0.72,2.2,0.17,"[7.9, 0.82, 0.12]","[28.74, 0.51, 0.21]","[17.09, 0.55, 0.38]",mainsail_89.jpg
2.67,80.73,307.96,4.73,3.0,1.0,0.63,1.5,1.0,0.3,1.75,-0.5,"[23.07, 0.85, 0.97]","[11.97, 0.9, 0.05]","[18.99, 0.43, 0.23]",mainsail_90.jpg
10.99,256.38,253.31,4.7,3.0,2.0,1.07,1.5,1.0,1.15,1.3,-0.5,"[16.85, 0.31, 0.45]","[9.33, 0.13, 0.33]","[17.37, 0.95, 0.18]",mainsail_91.jpg
11.65,85.41,170.7,16.93,1.5,0.5,1.07,1.5,1.0,2.0,0.85,-0.5,"[25.72, 0.15, 0.43]","[13.53, 0.05, 0.18]","[17.65, 0.43, 0.62]",mainsail_92.jpg
8.86,117.14,35.22,19.16,1.5,0.5,0.63,1.5,1.0,0.3,0.85,-0.5,"[4.33, 0.25, 0.22]","[26.45, 0.21, 0.47]","[26.97, 0.72, 0.55]",mainsail_93.jpg
11.79,268.73,176.98,15.42,1.0,2.5,1.07,1.5,1.0,1.15,1.3,-0.5,"[8.94, 0.54, 0.04]","[13.9, 0.52, 0.73]","[15.19, 0.77, 0.73]",mainsail_94.jpg
7.91,233.86,170.45,24.13,2.0,2.0,0.2,1.5,1.0,0.3,1.75,0.17,"[13.99, 0.5, 0.18]","[4.21, 0.99, 0.72]","[11.49, 0.47, 0.08]",mainsail_95.jpg
8.32,305.71,62.35,10.62,0.5,0.5,0.2,1.5,1.0,2.0,1.75,-0.17,"[10.66, 0.88, 0.94]","[29.69, 0.14, 0.69]","[24.26, 0.02, 0.71]",mainsail_96.jpg
6.99,236.73,156.18,8.57,3.0,2.0,0.63,1.5,1.0,2.0,2.2,-0.33,"[22.29, 0.34, 0.79]","[9.88, 0.43, 0.3]","[18.72, 0.6, 0.87]",mainsail_97.jpg
1.36,204.59,143.46,21.98,2.0,1.0,1.5,1.5,1.0,0.72,2.2,-0.5,"[10.05, 0.83, 0.48]","[22.27, 0.42, 0.34]","[29.52, 0.66, 0.9]",mainsail_98.jpg
2.51,33.72,221.7,7.14,2.5,1.5,1.5,1.5,1.0,1.58,0.4,0.5,"[29.64, 0.4, 0.59]","[19.13, 0.04, 0.45]","[12.54, 0.02, 0.68]",mainsail_99.jpg
1.44,132.37,228.63,24.15,3.0,0.5,0.63,1.5,1.0,0.3,0.85,-0.17,"[29.69, 0.28, 0.87]","[10.93, 0.15, 0.11]","[11.92, 0.71, 0.44]",mainsail_100.jpg
9.91,95.47,16.31,2.28,3.0,2.5,0.63,1.5,1.0,0.3,2.2,-0.17,"[28.18, 0.06, 0.32]","[21.49, 0.22, 0.3]","[4.68, 0.2, 0.36]",mainsail_101.jpg
5.4,87.83,134.86,24.31,1.5,1.0,0.2,1.5,1.0,1.15,1.75,-0.33,"[7.22, 0.55, 0.87]","[29.96, 0.69, 0.06]","[11.39, 0.39, 0.59]",mainsail_102.jpg
8.12,350.27,225.3,2.99,0.5,2.0,1.5,1.5,1.0,2.0,1.3,0.17,"[16.94, 0.92, 0.45]","[12.12, 0.74, 0.25]","[4.83, 0.46, 0.76]",mainsail_103.jpg
13.71,141.51,181.12,22.5,0.5,1.0,1.07,1.5,1.0,0.3,1.75,0.0,"[26.13, 0.73, 0.43]","[13.3, 0.92, 0.61]","[1.05, 0.95, 0.86]",mainsail_104.jpg
4.49,321.13,308.33,14.14,2.5,0.5,0.2,1.5,1.0,2.0,0.85,0.0,"[11.67, 0.98, 0.78]","[21.86, 0.73, 0.23]","[25.4, 0.68, 0.75]",mainsail_105.jpg
6.75,227.2,237.12,24.84,2.5,2.0,0.63,1.5,1.0,0.3,1.75,-0.17,"[18.03, 0.32, 0.77]","[10.45, 0.52, 0.91]","[26.77, 0.92, 0.76]",mainsail_106.jpg
11.58,286.12,58.65,3.7,3.0,1.5,1.5,1.5,1.0,0.72,0.4,0.33,"[17.49, 0.28, 0.34]","[6.77, 0.53, 0.29]","[23.09, 0.4, 0.34]",mainsail_107.jpg
4.2,180.94,25.4,14.74,1.0,1.0,1.07,1.5,1.0,1.58,0.85,0.33,"[0.03, 0.68, 0.16]","[28.28, 0.76, 0.08]","[7.69, 0.69, 0.93]",mainsail_108.jpg
2.08,207.68,231.26,24.29,1.5,0.5,1.07,1.5,1.0,0.3,1.3,-0.33,"[5.18, 0.44, 0.35]","[8.78, 0.24, 0.06]","[25.85, 0.87, 0.66]",mainsail_109.jpg
5.06,177.3,9.54,14.03,1.5,2.5,0.2,1.5,1.0,2.0,0.4,0.0,"[3.73, 0.43, 0.54]","[15.83, 0.03, 0.25]","[6.29, 0.72, 0.25]",mainsail_110.jpg
3.26,70.29,210.87,16.48,3.0,2.0,1.5,1.5,1.0,0.72,0.85,-0.17,"[12.4, 0.16, 0.43]","[29.03, 0.44, 0.32]","[15.6, 0.57, 0.03]",mainsail_111.jpg
14.02,260.08,338.47,18.0,2.0,1.0,1.5,1.5,1.0,0.3,1.3,0.17,"[20.66, 0.78, 0.84]","[24.12, 0.86, 0.21]","[15.4, 0.84, 0.86]",mainsail_112.jpg
12.31,101.08,207.16,12.45,1.0,1.0,0.63,1.5,1.0,1.15,0.4,0.0,"[18.34, 0.88, 0.03]","[13.51, 0.84, 0.38]","[1.01, 0.81, 0.65]",mainsail_113.jpg
9.87,8.75,139.74,16.43,3.0,1.5,1.5,1.5,1.0,1.58,0.4,-0.17,"[21.02, 0.08, 0.34]","[14.9, 0.51, 0.09]","[3.68, 0.89, 0.46]",mainsail_114.jpg
13.2,232.36,231.58,15.44,1.0,1.5,1.5,1.5,1.0,0.3,0.85,-0.17,"[0.26, 0.42, 0.85]","[0.32, 0.23, 0.03]","[24.43, 0.71, 0.17]",mainsail_115.jpg
12.25,63.76,164.97,22.73,1.0,2.5,0.2,1.5,1.0,0.72,2.2,-0.5,"[6.4, 0.27, 0.97]","[25.8, 0.03, 0.59]","[4.87, 0.34, 0.72]",mainsail_116.jpg
3.61,338.56,196.42,3.05,1.0,2.5,1.5,1.5,1.0,1.15,0.4,0.17,"[24.16, 0.24, 0.77]","[25.18, 0.51, 0.0]","[29.36, 0.2, 0.28]",mainsail_117.jpg
13.5,343.4,338.92,8.46,3.0,0.5,1.07,1.5,1.0,0.72,0.4,-0.5,"[6.76, 0.75, 0.51]","[27.83, 0.99, 0.71]","[21.56, 0.26, 0.62]",mainsail_118.jpg
8.55,329.34,138.99,23.86,1.5,0.5,0.2,1.5,1.0,0.72,1.3,-0.33,"[13.92, 0.31, 0.94]","[16.62, 0.08, 0.01]","[10.37, 0.26, 0.61]",mainsail_119.jpg
12.3,133.25,346.02,22.48,1.5,2.5,0.2,1.5,1.0,1.15,1.75,-0.5,"[28.48, 0.03, 0.85]","[4.03, 0.65, 0.45]","[0.85, 0.79, 0.02]",mainsail_120.jpg
13.55,5.56,325.92,12.48,1.0,2.5,0.63,1.5,1.0,0.72,0.85,0.5,"[7.43, 0.77, 0.69]","[16.37, 0.75, 0.1]","[14.37, 0.38, 0.43]",mainsail_121.jpg
5.45,334.19,70.48,16.26,2.0,2.0,1.5,1.5,1.0,1.15,0.85,-0.5,"[10.51, 0.71, 0.99]","[21.51, 0.71, 0.48]","[12.31, 0.78, 0.64]",mainsail_122.jpg
